date,year,month_number,month_name,day_of_month,day_of_week,year_month
2020-03-01,2020,3,March,1,7,2020-03
2020-03-02,2020,3,March,2,1,2020-03
2020-03-03,2020,3,March,3,2,2020-03
2020-03-04,2020,3,March,4,3,2020-03
2020-03-05,2020,3,March,5,4,2020-03
2020-03-06,2020,3,March,6,5,2020-03
2020-03-07,2020,3,March,7,6,2020-03
2020-03-08,2020,3,March,8,7,2020-03
2020-03-09,2020,3,March,9,1,2020-03
2020-03-10,2020,3,March,10,2,2020-03
2020-03-11,2020,3,March,11,3,2020-03
2020-03-12,2020,3,March,12,4,2020-03
2020-03-13,2020,3,March,13,5,2020-03
2020-03-14,2020,3,March,14,6,2020-03
2020-03-15,2020,3,March,15,7,2020-03
2020-03-16,2020,3,March,16,1,2020-03
2020-03-17,2020,3,March,17,2,2020-03
2020-03-18,2020,3,March,18,3,2020-03
2020-03-19,2020,3,March,19,4,2020-03
2020-03-20,2020,3,March,20,5,2020-03
2020-03-21,2020,3,March,21,6,2020-03
2020-03-22,2020,3,March,22,7,2020-03
2020-03-23,2020,3,March,23,1,2020-03
2020-03-24,2020,3,March,24,2,2020-03
2020-03-25,2020,3,March,25,3,2020-03
2020-03-26,2020,3,March,26,4,2020-03
2020-03-27,2020,3,March,27,5,2020-03
2020-03-28,2020,3,March,28,6,2020-03
2020-03-29,2020,3,March,29,7,2020-03
2020-03-30,2020,3,March,30,1,2020-03
2020-03-31,2020,3,March,31,2,2020-03
2020-04-01,2020,4,April,1,3,2020-04
2020-04-02,2020,4,April,2,4,2020-04
2020-04-03,2020,4,April,3,5,2020-04
2020-04-04,2020,4,April,4,6,2020-04
2020-04-05,2020,4,April,5,7,2020-04
2020-04-06,2020,4,April,6,1,2020-04
2020-04-07,2020,4,April,7,2,2020-04
2020-04-08,2020,4,April,8,3,2020-04
2020-04-09,2020,4,April,9,4,2020-04
2020-04-10,2020,4,April,10,5,2020-04
2020-04-11,2020,4,April,11,6,2020-04
2020-04-12,2020,4,April,12,7,2020-04
2020-04-13,2020,4,April,13,1,2020-04
2020-04-14,2020,4,April,14,2,2020-04
2020-04-15,2020,4,April,15,3,2020-04
2020-04-16,2020,4,April,16,4,2020-04
2020-04-17,2020,4,April,17,5,2020-04
2020-04-18,2020,4,April,18,6,2020-04
2020-04-19,2020,4,April,19,7,2020-04
2020-04-20,2020,4,April,20,1,2020-04
2020-04-21,2020,4,April,21,2,2020-04
2020-04-22,2020,4,April,22,3,2020-04
2020-04-23,2020,4,April,23,4,2020-04
2020-04-24,2020,4,April,24,5,2020-04
2020-04-25,2020,4,April,25,6,2020-04
2020-04-26,2020,4,April,26,7,2020-04
2020-04-27,2020,4,April,27,1,2020-04
2020-04-28,2020,4,April,28,2,2020-04
2020-04-29,2020,4,April,29,3,2020-04
2020-04-30,2020,4,April,30,4,2020-04
2020-05-01,2020,5,May,1,5,2020-05
2020-05-02,2020,5,May,2,6,2020-05
2020-05-03,2020,5,May,3,7,2020-05
2020-05-04,2020,5,May,4,1,2020-05
2020-05-05,2020,5,May,5,2,2020-05
2020-05-06,2020,5,May,6,3,2020-05
2020-05-07,2020,5,May,7,4,2020-05
2020-05-08,2020,5,May,8,5,2020-05
2020-05-09,2020,5,May,9,6,2020-05
2020-05-10,2020,5,May,10,7,2020-05
2020-05-11,2020,5,May,11,1,2020-05
2020-05-12,2020,5,May,12,2,2020-05
2020-05-13,2020,5,May,13,3,2020-05
2020-05-14,2020,5,May,14,4,2020-05
2020-05-15,2020,5,May,15,5,2020-05
2020-05-16,2020,5,May,16,6,2020-05
2020-05-17,2020,5,May,17,7,2020-05
2020-05-18,2020,5,May,18,1,2020-05
2020-05-19,2020,5,May,19,2,2020-05
2020-05-20,2020,5,May,20,3,2020-05
2020-05-21,2020,5,May,21,4,2020-05
2020-05-22,2020,5,May,22,5,2020-05
2020-05-23,2020,5,May,23,6,2020-05
2020-05-24,2020,5,May,24,7,2020-05
2020-05-25,2020,5,May,25,1,2020-05
2020-05-26,2020,5,May,26,2,2020-05
2020-05-27,2020,5,May,27,3,2020-05
2020-05-28,2020,5,May,28,4,2020-05
2020-05-29,2020,5,May,29,5,2020-05
2020-05-30,2020,5,May,30,6,2020-05
2020-05-31,2020,5,May,31,7,2020-05
2020-06-01,2020,6,June,1,1,2020-06
2020-06-02,2020,6,June,2,2,2020-06
2020-06-03,2020,6,June,3,3,2020-06
2020-06-04,2020,6,June,4,4,2020-06
2020-06-05,2020,6,June,5,5,2020-06
2020-06-06,2020,6,June,6,6,2020-06
2020-06-07,2020,6,June,7,7,2020-06
2020-06-08,2020,6,June,8,1,2020-06
2020-06-09,2020,6,June,9,2,2020-06
2020-06-10,2020,6,June,10,3,2020-06
2020-06-11,2020,6,June,11,4,2020-06
2020-06-12,2020,6,June,12,5,2020-06
2020-06-13,2020,6,June,13,6,2020-06
2020-06-14,2020,6,June,14,7,2020-06
2020-06-15,2020,6,June,15,1,2020-06
2020-06-16,2020,6,June,16,2,2020-06
2020-06-17,2020,6,June,17,3,2020-06
2020-06-18,2020,6,June,18,4,2020-06
2020-06-19,2020,6,June,19,5,2020-06
2020-06-20,2020,6,June,20,6,2020-06
2020-06-21,2020,6,June,21,7,2020-06
2020-06-22,2020,6,June,22,1,2020-06
2020-06-23,2020,6,June,23,2,2020-06
2020-06-24,2020,6,June,24,3,2020-06
2020-06-25,2020,6,June,25,4,2020-06
2020-06-26,2020,6,June,26,5,2020-06
2020-06-27,2020,6,June,27,6,2020-06
2020-06-28,2020,6,June,28,7,2020-06
2020-06-29,2020,6,June,29,1,2020-06
2020-06-30,2020,6,June,30,2,2020-06
2020-07-01,2020,7,July,1,3,2020-07
2020-07-02,2020,7,July,2,4,2020-07
2020-07-03,2020,7,July,3,5,2020-07
2020-07-04,2020,7,July,4,6,2020-07
2020-07-05,2020,7,July,5,7,2020-07
2020-07-06,2020,7,July,6,1,2020-07
2020-07-07,2020,7,July,7,2,2020-07
2020-07-08,2020,7,July,8,3,2020-07
2020-07-09,2020,7,July,9,4,2020-07
2020-07-10,2020,7,July,10,5,2020-07
2020-07-11,2020,7,July,11,6,2020-07
2020-07-12,2020,7,July,12,7,2020-07
2020-07-13,2020,7,July,13,1,2020-07
2020-07-14,2020,7,July,14,2,2020-07
2020-07-15,2020,7,July,15,3,2020-07
2020-07-16,2020,7,July,16,4,2020-07
2020-07-17,2020,7,July,17,5,2020-07
2020-07-18,2020,7,July,18,6,2020-07
2020-07-19,2020,7,July,19,7,2020-07
2020-07-20,2020,7,July,20,1,2020-07
2020-07-21,2020,7,July,21,2,2020-07
2020-07-22,2020,7,July,22,3,2020-07
2020-07-23,2020,7,July,23,4,2020-07
2020-07-24,2020,7,July,24,5,2020-07
2020-07-25,2020,7,July,25,6,2020-07
2020-07-26,2020,7,July,26,7,2020-07
2020-07-27,2020,7,July,27,1,2020-07
2020-07-28,2020,7,July,28,2,2020-07
2020-07-29,2020,7,July,29,3,2020-07
2020-07-30,2020,7,July,30,4,2020-07
2020-07-31,2020,7,July,31,5,2020-07
2020-08-01,2020,8,August,1,6,2020-08
2020-08-02,2020,8,August,2,7,2020-08
2020-08-03,2020,8,August,3,1,2020-08
2020-08-04,2020,8,August,4,2,2020-08
2020-08-05,2020,8,August,5,3,2020-08
2020-08-06,2020,8,August,6,4,2020-08
2020-08-07,2020,8,August,7,5,2020-08
2020-08-08,2020,8,August,8,6,2020-08
2020-08-09,2020,8,August,9,7,2020-08
2020-08-10,2020,8,August,10,1,2020-08
2020-08-11,2020,8,August,11,2,2020-08
2020-08-12,2020,8,August,12,3,2020-08
2020-08-13,2020,8,August,13,4,2020-08
2020-08-14,2020,8,August,14,5,2020-08
2020-08-15,2020,8,August,15,6,2020-08
2020-08-16,2020,8,August,16,7,2020-08
2020-08-17,2020,8,August,17,1,2020-08
2020-08-18,2020,8,August,18,2,2020-08
2020-08-19,2020,8,August,19,3,2020-08
2020-08-20,2020,8,August,20,4,2020-08
2020-08-21,2020,8,August,21,5,2020-08
2020-08-22,2020,8,August,22,6,2020-08
2020-08-23,2020,8,August,23,7,2020-08
2020-08-24,2020,8,August,24,1,2020-08
2020-08-25,2020,8,August,25,2,2020-08
2020-08-26,2020,8,August,26,3,2020-08
2020-08-27,2020,8,August,27,4,2020-08
2020-08-28,2020,8,August,28,5,2020-08
2020-08-29,2020,8,August,29,6,2020-08
2020-08-30,2020,8,August,30,7,2020-08
2020-08-31,2020,8,August,31,1,2020-08
2020-09-01,2020,9,September,1,2,2020-09
2020-09-02,2020,9,September,2,3,2020-09
2020-09-03,2020,9,September,3,4,2020-09
2020-09-04,2020,9,September,4,5,2020-09
2020-09-05,2020,9,September,5,6,2020-09
2020-09-06,2020,9,September,6,7,2020-09
2020-09-07,2020,9,September,7,1,2020-09
2020-09-08,2020,9,September,8,2,2020-09
2020-09-09,2020,9,September,9,3,2020-09
2020-09-10,2020,9,September,10,4,2020-09
2020-09-11,2020,9,September,11,5,2020-09
2020-09-12,2020,9,September,12,6,2020-09
2020-09-13,2020,9,September,13,7,2020-09
2020-09-14,2020,9,September,14,1,2020-09
2020-09-15,2020,9,September,15,2,2020-09
2020-09-16,2020,9,September,16,3,2020-09
2020-09-17,2020,9,September,17,4,2020-09
2020-09-18,2020,9,September,18,5,2020-09
2020-09-19,2020,9,September,19,6,2020-09
